"행정구역","2026년06월_총인구수","2026년06월_세대수","2026년06월_세대당 인구","2026년06월_남자 인구수","2026년06월_여자 인구수","2026년06월_남여 비율"
"경상북도 청송군 (4775000000)","24,020","14,275","          1.68","12,160","11,860","          1.03"
"경상북도 영양군 (4776000000)","15,972","9,203","          1.74","8,061","7,911","          1.02"
"경상북도 영덕군 (4777000000)","32,560","19,390","          1.68","15,665","16,895","          0.93"
"경상북도 청도군 (4782000000)","40,021","23,714","          1.69","20,068","19,953","          1.01"
"경상북도 고령군 (4783000000)","29,545","17,398","          1.70","15,292","14,253","          1.07"
"경상북도 성주군 (4784000000)","40,461","23,954","          1.69","21,207","19,254","          1.10"
"경상북도 칠곡군 (4785000000)","103,537","53,472","          1.94","54,579","48,958","          1.11"
"경상북도 예천군 (4790000000)","53,422","27,897","          1.91","26,468","26,954","          0.98"
"경상북도 봉화군 (4792000000)","28,122","16,471","          1.71","14,399","13,723","          1.05"
"경상북도 울진군 (4793000000)","46,195","26,182","          1.76","23,689","22,506","          1.05"
"경상북도 울릉군 (4794000000)","8,768","5,531","          1.59","4,945","3,823","          1.29"
"경상남도  (4800000000)","3,195,351","1,557,683","          2.05","1,611,870","1,583,481","          1.02"
"경상남도 창원시 (4812000000)","986,273","464,306","          2.12","498,877","487,396","          1.02"
"경상남도 창원시 의창구 (4812100000)","209,377","99,359","          2.11","106,478","102,899","          1.03"
"경상남도 창원시 성산구 (4812300000)","245,292","109,823","          2.23","125,181","120,111","          1.04"
"경상남도 창원시 마산합포구 (4812500000)","174,487","86,765","          2.01","86,258","88,229","          0.98"
"경상남도 창원시 마산회원구 (4812700000)","174,175","82,838","          2.10","86,623","87,552","          0.99"
"경상남도 창원시 진해구 (4812900000)","182,942","85,521","          2.14","94,337","88,605","          1.06"
"경상남도 진주시 (4817000000)","334,651","163,589","          2.05","165,406","169,245","          0.98"
"경상남도 통영시 (4822000000)","115,890","59,428","          1.95","58,214","57,676","          1.01"
"경상남도 사천시 (4824000000)","107,882","56,634","          1.90","54,823","53,059","          1.03"
"경상남도 사천남양출장소 (4824500000)","0","0","          0.00","0","0","          0.00"
"경상남도 김해시 (4825000000)","532,777","241,006","          2.21","269,434","263,343","          1.02"
"경상남도 장유출장소 (4825200000)","0","0","          0.00","0","0","          0.00"
"경상남도 밀양시 (4827000000)","98,591","54,352","          1.81","48,978","49,613","          0.99"
"경상남도 거제시 (4831000000)","229,029","107,351","          2.13","120,466","108,563","          1.11"
"경상남도 양산시 (4833000000)","361,389","167,131","          2.16","181,064","180,325","          1.00"
"경상남도 양산시웅상출장소 (4833200000)","0","0","          0.00","0","0","          0.00"
"경상남도 의령군 (4872000000)","24,531","14,855","          1.65","12,302","12,229","          1.01"
"경상남도 함안군 (4873000000)","56,867","29,873","          1.90","29,253","27,614","          1.06"
"경상남도 창녕군 (4874000000)","54,445","31,749","          1.71","27,401","27,044","          1.01"
"경상남도 고성군 (4882000000)","46,808","26,405","          1.77","23,798","23,010","          1.03"
"경상남도 남해군 (4884000000)","41,143","23,157","          1.78","20,127","21,016","          0.96"
"경상남도 하동군 (4885000000)","39,596","23,254","          1.70","19,913","19,683","          1.01"
"경상남도 산청군 (4886000000)","32,638","19,603","          1.66","16,278","16,360","          0.99"
"경상남도 함양군 (4887000000)","35,141","20,184","          1.74","17,253","17,888","          0.96"
"경상남도 거창군 (4888000000)","58,846","31,407","          1.87","29,005","29,841","          0.97"
"경상남도 합천군 (4889000000)","38,854","23,399","          1.66","19,278","19,576","          0.98"
"제주특별자치도  (5000000000)","662,792","317,317","          2.09","331,124","331,668","          1.00"
"제주특별자치도 제주시 (5011000000)","484,123","228,236","          2.12","241,186","242,937","          0.99"
"제주특별자치도 서귀포시 (5013000000)","178,669","89,081","          2.01","89,938","88,731","          1.01"
